TIC                BP_RP       abs M
-------------  ---------  ----------
TIC 226347633  0.630232    2.56243
TIC 445709402  0.682096    3.26479
TIC 134113566  0.679901    3.75164
TIC 214194208  0.76913     4.2929
TIC 85268749   0.83106     4.16217
TIC 335565650  0.592126    3.08865
TIC 99736183   0.621427    1.82304
TIC 291725092  0.87298     4.6337
TIC 377626776  0.761682    1.04406
TIC 283790188  0.916402    4.85929
TIC 91102009   0.633956    3.06076
TIC 306980677  0.785285    4.68113
TIC 306523989  0.0192242   1.31495
TIC 330560976  0.828167    4.90236
TIC 97818122   0.833414    4.71373
TIC 402606752  0.300434    1.40543
TIC 66348670   0.659653    2.79196
TIC 214611766  0.828353    4.94379
TIC 206234213  0.887563    4.78556
TIC 205790082  0.706151    3.59338
TIC 78567272   0.747706    3.81826
TIC 47203554   0.762596    4.29503
TIC 429201395  0.830375    4.70868
TIC 199175327  0.735465    4.06473
TIC 301708056  0.730315    3.41143
TIC 143127398  0.656154    2.61225
TIC 103574743  0.691706    3.57479
TIC 336120480  0.891869    4.98063
TIC 428986692  0.886846    4.61889
TIC 284558050  0.71451     4.00738
TIC 48356677   0.74181     3.33021
TIC 2679752    0.816781    3.46304
TIC 140281093  0.782738    4.05925
TIC 17300275   0.673429    3.31801
TIC 32816844   0.709054    3.79386
TIC 150785114  1.14729     0.390839
TIC 165298700  0.737751    4.39054
TIC 85321782   0.741473    3.6006
TIC 56230659   0.615321    3.44905
TIC 144310541  0.674877    3.51174
TIC 8243025    0.841232    3.93724
TIC 440661265  0.714504    2.81319
TIC 241194061  0.857368    4.20844
TIC 339393951  0.863411    4.77835
TIC 74387651   0.525049    2.25824
TIC 342386246  0.569084    2.55924
TIC 445694241  0.852213    4.97703
TIC 184779886  0.7614      4.19213
TIC 441193739  0.655391    3.24388
TIC 47552617   0.68583     3.38179
TIC 441160380  0.796347    4.66173
TIC 441183171  0.785993    3.52486
TIC 65260787   1.03472     4.94921
TIC 89529500   0.915893    4.44283
TIC 63770543   0.679902    3.39553
TIC 43363531   0.763597    3.51115
TIC 456448383  0.747787    4.43679
TIC 19083290   0.77739     4.28679
TIC 293414051  0.751455    3.95614
TIC 307645531  0.643034    3.87105
TIC 437053325  0.68137     2.62322
TIC 419939047  0.734978    3.26826
TIC 38333166   0.715343    3.94868
TIC 278965156  0.728337    3.99516
TIC 30993392   0.901519    3.9741
TIC 167419169  0.83188     4.91607
TIC 389018512  1.13698     4.73802
TIC 166080940  0.816501    4.90361
TIC 100949299  0.804498    4.72931
TIC 72670776   0.560466    2.54625
TIC 224634596  0.686982    3.04029
TIC 72814920   0.83738     3.33639
TIC 416189855  0.896725    4.27584
TIC 148445167  0.878578    4.6307
TIC 66459601   0.809577    4.70829
TIC 443835822  0.832625    4.6852
TIC 390929708  0.645202    3.10288
TIC 280805691  0.639503    3.26096
TIC 184066300  0.783714    2.82402
TIC 341776926  0.757799    3.82043
TIC 187818255  0.600499    3.61749
TIC 421371691  0.925267    4.66537
TIC 400430150  0.836067    4.85851
TIC 34724550   0.660829    1.72519
TIC 409136541  0.737354    4.52115
TIC 47879575   0.76243     3.70981
TIC 92534878   0.601137    3.38022
TIC 357722350  0.711702    4.06787
TIC 416106967  0.480176    1.58671
TIC 36821042   0.826374    4.87062
TIC 439913535  0.663256    3.9022
TIC 442897531  0.581282    2.50323
TIC 442924534  0.677943    3.02258
TIC 277439030  0.902396    4.93821
TIC 1732730    0.685757    3.59859
TIC 143406721  0.659348    1.89644
TIC 290588752  0.6535      3.14008
TIC 6548720    0.717923    2.67263
TIC 17067391   0.902417    4.77007
TIC 408816267  0.762614    4.52043
TIC 17097008   1.06251     4.18708
TIC 435294041  1.08501     2.80286
TIC 26111422   1.20158     1.72573
TIC 6954176    0.782131    4.66573
TIC 19068849   0.80347     4.42857
TIC 188637817  0.75737     3.75495
TIC 61538902   0.823362    4.31189
TIC 206560576  0.826078    4.2132
TIC 310852205  0.75187     3.93681
TIC 402933792  0.627578    3.05554
TIC 422550077  0.777227    4.35445
TIC 410477617  0.619359    2.91427
TIC 231854272  0.712142    4.34926
TIC 425950592  0.810358    4.91753
TIC 237906842  0.82343     4.21207
TIC 237878575  0.774133    4.53599
TIC 237886259  0.545534    2.99599
TIC 231050759  0.840096    4.54087
TIC 341359427  0.819762    3.27377
TIC 389365531  0.705666    3.80321
TIC 9600044    0.733429    3.83088
TIC 121125566  0.769936    4.67687
TIC 121608344  0.930473    3.23773
TIC 311384828  0.693741    2.3534
TIC 313294818  0.43235     2.73634
TIC 80085363   0.907612    4.93662
TIC 270536913  1.10187     2.8159
TIC 62763555   0.701587    3.27946
TIC 278615882  0.781212    4.65677
TIC 60371274   0.76449     4.80823
TIC 253936082  0.728752    4.44508
TIC 419065683  0.78828     4.18451
TIC 27972683   0.570758    3.53777
TIC 182229615  1.02869     3.31292
TIC 11620634   0.619175    2.95032
TIC 1122511    0.980388    2.99926
TIC 241444250  0.807704    4.87968
TIC 248345894  0.817557    4.6916
TIC 264896714  0.631296    2.70848
TIC 354162611  0.844782    4.28304
TIC 399571938  0.807073    4.31699
TIC 162035117  0.785481    4.17938
TIC 239638976  0.851339    3.89132
TIC 200695857  0.864436    4.20458
TIC 46683612   0.735168    4.15218
TIC 408928524  0.730549    4.33198
TIC 219104933  0.75882     3.60696
TIC 52535787   0.814478    4.17152
TIC 229770891  0.764593    4.81247
TIC 258827801  0.313172    2.5447
TIC 229702109  0.769993    4.12278
TIC 163683461  0.625091    1.7089
TIC 229794879  0.801765    4.62507
TIC 115261728  0.689443    4.0352
TIC 43276385   0.814059    3.83765
TIC 334854441  0.749043    3.7424
