TIC                BP_RP    abs M
-------------  ---------  -------
TIC 226347633  0.630232   2.56243
TIC 445709402  0.682096   3.26479
TIC 134113566  0.679901   3.75164
TIC 214194208  0.76913    4.2929
TIC 85268749   0.83106    4.16217
TIC 335565650  0.592126   3.08865
TIC 99736183   0.621427   1.82304
TIC 291725092  0.87298    4.6337
TIC 377626776  0.761682   1.04406
TIC 283790188  0.916402   4.85929
TIC 91102009   0.633956   3.06076
TIC 306980677  0.785285   4.68113
TIC 306523989  0.0192242  1.31495
TIC 330560976  0.828167   4.90236
TIC 97818122   0.833414   4.71373
TIC 402606752  0.300434   1.40543
TIC 66348670   0.659653   2.79196
TIC 214611766  0.828353   4.94379
TIC 206234213  0.887563   4.78556
TIC 205790082  0.706151   3.59338
TIC 78567272   0.747706   3.81826
TIC 47203554   0.762596   4.29503
TIC 429201395  0.830375   4.70868
TIC 199175327  0.735465   4.06473
TIC 301708056  0.730315   3.41143
TIC 143127398  0.656154   2.61225
TIC 103574743  0.691706   3.57479
TIC 336120480  0.891869   4.98063
TIC 428986692  0.886846   4.61889
